prop_id,property_type,city,address,resale,owntype,bhk,bathrooms,balcony_num,total_price,furnish,facing,property_age,floor_num,total_floor,prop_name,min_price,max_price,price_sqft,building_id,builtup_area_sqft,superbuiltup_sqft,brokerage,min_area_sqft,max_area_sqft,expiry_date,price,class_label,total_landmark_count,contact_company_name,flag_reason,dataset
Y51216482,Apartment,Gurugram,Sector 42 Gurgaon,No,Owner,4.0,6.0,4,0.0,Unfurnished,South-West,6,25,38,Dlf The Camellias,0.0,0.0,0,219301.0,1650.0,7400.0,1.0,687.4822,687.4822,2023-11-02,2.85,Dealer,15,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
T51258728,Apartment,Gurugram,Sector 42 Gurgaon,No,Owner,4.0,7.0,3,0.0,Semifurnished,South-West,6,15,38,Dlf The Camellias,0.0,0.0,0,219301.0,1650.0,7430.0,1.0,690.26929,690.26929,2023-11-23,2.85,Dealer,15,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
D57818872,Apartment,Gurugram,Sector 42 Gurgaon,No,Owner,5.0,7.0,3,0.0,Semifurnished,South-West,1,25,38,Dlf The Camellias,0.0,0.0,0,219301.0,1650.0,9500.0,1.0,882.5785,882.5785,2023-11-17,2.85,Dealer,15,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
B51216362,Apartment,Gurugram,Sector 42 Gurgaon,No,Owner,5.0,6.0,4,0.0,Semifurnished,South-West,6,38,38,Dlf The Camellias,0.0,0.0,0,219301.0,1650.0,13000.0,1.0,1207.739,1207.739,2023-12-09,2.85,Dealer,15,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
C58709034,Apartment,Gurugram,Sector 42 Gurgaon,No,Owner,5.0,6.0,4,0.0,Semifurnished,South-West,2,16,17,Dlf The Aralias,0.0,0.0,0,20320.0,1650.0,10000.0,1.0,929.03,929.03,2023-12-08,2.85,Dealer,12,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
T59551064,Apartment,Gurugram,Sector 54 Gurgaon,No,Owner,4.0,5.0,4,0.0,Unfurnished,South-West,1,16,38,Dlf The Crest,0.0,0.0,0,15852.0,1650.0,4022.0,1.0,373.655866,373.655866,2023-12-08,2.85,Dealer,14,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
E58076644,Apartment,Gurugram,Sector 42 Gurgaon,No,Owner,6.0,7.0,4,0.0,Semifurnished,South-West,6,12,38,Dlf The Camellias,0.0,0.0,0,219301.0,1650.0,11000.0,1.0,1021.933,1021.933,2023-11-17,2.85,Dealer,15,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Q25076089,Apartment,Gurugram,Dlf Phase 3,No,Owner,7.0,7.0,4,0.0,Semifurnished,South-West,6,11,12,Ambience Caitriona,0.0,0.0,0,50156.0,1650.0,15000.0,1.0,1393.545,1393.545,2023-12-05,2.85,Dealer,15,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
R56888744,Apartment,Gurugram,Sector 63 Gurgaon,No,Owner,4.0,5.0,4,0.0,Semifurnished,South-West,5,16,39,"Dlf The Arbour, Golf Course Extension Road",0.0,0.0,0,0.0,1650.0,3950.0,0.0,366.96685,366.96685,2023-11-28,2.85,Dealer,10,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
W21677081,Apartment,Gurugram,Sector 42 Gurgaon,No,Owner,4.0,5.0,4,0.0,Semifurnished,South-West,1,16,25,Dlf The Magnolias,0.0,0.0,0,534.0,1650.0,6400.0,1.0,594.5792,594.5792,2023-12-05,2.85,Dealer,15,Sharma Estates,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
G69787640,Apartment,Gurugram,Sector 59 Gurgaon,No,Owner,4.0,3.0,1,0.0,Semifurnished,North,2,3,33,Conscient Elevate,0.0,0.0,0,1001692.0,1650.0,2600.0,1.0,241.5478,241.5478,2023-10-29,2.85,Dealer,14,Temple Homes Pvt. Ltd.,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
