property_type,city,total_price,unit,builtup_area_sqft,area,state
Plot/Land,Visakhapatnam,90.0, L,1000.0,9000,Andhra Pradesh
Plot/Land,Anantapuram,90.0, L,1000.0,9000,Andhra Pradesh
Plot/Land,Vizianagaram,78.66, L,1000.0,7866,Andhra Pradesh
Plot/Land,Visakhapatnam,54.0, L,1000.0,5400,Andhra Pradesh
Plot/Land,Visakhapatnam,45.0, L,1000.0,4500,Andhra Pradesh
Plot/Land,Visakhapatnam,28.0, L,1000.0,2800,Andhra Pradesh
Plot/Land,Visakhapatnam,28.0, L,1000.0,2799,Andhra Pradesh
Plot/Land,Visakhapatnam,27.0, L,1000.0,2700,Andhra Pradesh
Plot/Land,Vijayawada,25.11, L,1000.0,2511,Andhra Pradesh
Plot/Land,Visakhapatnam,21.24, L,1000.0,2124,Andhra Pradesh
Plot/Land,Visakhapatnam,21.15, L,1000.0,2115,Andhra Pradesh
Plot/Land,Visakhapatnam,18.0, L,1000.0,1800,Andhra Pradesh
Plot/Land,Vizianagaram,18.0, L,1000.0,1800,Andhra Pradesh
Plot/Land,Tirupati,18.0, L,1000.0,1800,Andhra Pradesh
Plot/Land,Guntur,18.0, L,1000.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,16.47, L,1000.0,1647,Andhra Pradesh
Plot/Land,Srikakulam,16.47, L,1000.0,1647,Andhra Pradesh
Plot/Land,Visakhapatnam,15.03, L,1000.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,14.94, L,1000.0,1494,Andhra Pradesh
Plot/Land,Vijayawada,13.5, L,1000.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,13.5, L,1000.0,1350,Andhra Pradesh
Plot/Land,Vizianagaram,12.78, L,1000.0,1278,Andhra Pradesh
Plot/Land,Visakhapatnam,12.0, L,1000.0,1200,Andhra Pradesh
Plot/Land,Visakhapatnam,11.97, L,1000.0,1197,Andhra Pradesh
Plot/Land,Tirupati,10.08, L,1000.0,1008,Andhra Pradesh
Apartment,Visakhapatnam,10.0, L,1000.0,1000,Andhra Pradesh
Plot/Land,Vijayawada,9.0, L,1000.0,900,Andhra Pradesh
Plot/Land,Srikakulam,10.0, L,1001.0,999,Andhra Pradesh
Plot/Land,Guntur,57.0, L,1002.0,5688,Andhra Pradesh
Plot/Land,Visakhapatnam,14.99, L,1004.0,1494,Andhra Pradesh
Plot/Land,Visakhapatnam,18.0, L,1005.0,1790,Andhra Pradesh
Plot/Land,Visakhapatnam,14.9, L,1006.0,1480,Andhra Pradesh
Apartment,Visakhapatnam,32.58, L,1008.0,3230,Andhra Pradesh
Plot/Land,Visakhapatnam,12.4, L,1008.0,1230,Andhra Pradesh
Plot/Land,Visakhapatnam,18.65, L,1009.0,1847,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1010.0,1980,Andhra Pradesh
Plot/Land,Visakhapatnam,18.2, L,1011.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,12.88, L,1013.0,1271,Andhra Pradesh
Plot/Land,Visakhapatnam,18.2, L,1016.0,1790,Andhra Pradesh
Plot/Land,Visakhapatnam,16.1, L,1020.0,1578,Andhra Pradesh
Plot/Land,Visakhapatnam,17.82, L,1024.0,1740,Andhra Pradesh
Plot/Land,Visakhapatnam,18.5, L,1027.0,1800,Andhra Pradesh
Plot/Land,Tirupati,18.5, L,1027.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,18.23, L,1029.0,1770,Andhra Pradesh
Plot/Land,Visakhapatnam,17.0, L,1030.0,1649,Andhra Pradesh
Plot/Land,Visakhapatnam,15.5, L,1032.0,1501,Andhra Pradesh
Plot/Land,Visakhapatnam,28.0, L,1037.0,2700,Andhra Pradesh
Plot/Land,Guntur,14.0, L,1037.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,14.0, L,1037.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,27.0, L,1038.0,2600,Andhra Pradesh
Plot/Land,Visakhapatnam,19.1, L,1038.0,1840,Andhra Pradesh
Plot/Land,Visakhapatnam,25.0, L,1039.0,2404,Andhra Pradesh
Plot/Land,Visakhapatnam,25.0, L,1040.0,2403,Andhra Pradesh
Plot/Land,Nellore,18.75, L,1041.0,1800,Andhra Pradesh
Plot/Land,Nellore,15.75, L,1041.0,1512,Andhra Pradesh
Plot/Land,Visakhapatnam,17.56, L,1042.0,1685,Andhra Pradesh
Plot/Land,Visakhapatnam,18.8, L,1044.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,14.32, L,1045.0,1370,Andhra Pradesh
Apartment,Visakhapatnam,10.5, L,1050.0,1000,Andhra Pradesh
Plot/Land,Visakhapatnam,14.82, L,1051.0,1410,Andhra Pradesh
Plot/Land,Visakhapatnam,19.0, L,1052.0,1806,Andhra Pradesh
Plot/Land,Visakhapatnam,11.25, L,1053.0,1068,Andhra Pradesh
Plot/Land,Visakhapatnam,19.65, L,1054.0,1864,Andhra Pradesh
