locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,lift(s),full_power_backup,24_x_7_security,children's_play_area,club_house,gymnasium,swimming_pool,sports_facility,jogging_track,landscaped_gardens,locality_score,project_score,builder_experience,hospital,multipurpose_room,rain_water_harvesting,vaastu_compliant,atm,car_parking,intercom,maintenance_staff,school,pincode,staff_quarter,golf_course,cafeteria,indoor_games
Yadagirigutta,5445.0,1512500.0,INR,0.0,0,0,"This plot is situated in Yadagirigutta, Chandigarh. It has an area of 5445 sqft. The property is available at a price of Rs. 15.13 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1647.0,1575000.0,INR,1.0,0,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1647 sqft and is priced at Rs. 15.75 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1899.0,10000000.0,INR,1.0,0,0,"1899 Square feet Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 50.0 mt length 36.0 mt width. Price. The width of the facing road is 33.0 mt. The most popular landmarks near this plot are ZPHS Peddakandukur, Durga Tempul, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350.0,1450000.0,INR,1.0,0,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 12177 sqft. The property is available at a price of Rs. 14.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350.0,1499850.0,INR,1.0,0,0,"1350 Square feet Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 50.0 mt length 27.0 mt width. Price. The width of the facing road is 50.0 mt. The most popular landmarks near this plot are Durga Tempul, ZPHS Peddakandukur, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,9000.0,1250000.0,INR,1.0,0,0,"1000 Square yard Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 50.0 mt length 27.0 mt width. Price. The width of the facing road is 33.0 mt. The most popular landmarks near this plot are ZPHS Peddakandukur, Durga Tempul, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1620.0,1259820.0,INR,1.0,0,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1620 sqft. The property is available at a price of Rs. 12.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350.0,1950000.0,INR,1.0,0,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1350 sqft. The property is available at a price of Rs. 19.50 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700.0,14100000.0,INR,1.0,0,0,"This plot is available for sale and is located in the heart of New chandigarh mohali. It has a salable area of 2700 sqft and is available at a price of Rs. 5,222 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1800.0,16500000.0,INR,1.0,0,0,"A plot is available at a prime location in New chandigarh mohali. It has a salable area of 1800 sqft and is available at a price of Rs. 9,166 per sqft. It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1800.0,13500000.0,INR,1.0,0,0,"A plot property is available for sale in New chandigarh mohali, Chandigarh. It has an area of 1800 sqft. The property is available at a price of Rs. 1.35 cr . Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700.0,22500000.0,INR,1.0,0,0,"A plot is available at a prime location in New chandigarh mohali. It has an area of 2700 sqft and is priced at Rs. 2.25 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089.0,435479.0,INR,1.0,1,0,"This plot is situated in Yadagirigutta. It has an area of 1089 sqft. The property is available at a price of Rs. 4.35 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 68,3600.0,36000000.0,INR,1.0,0,0,"This plot is situated in Sector 68. It has an area of 3600 sqft and is priced at Rs. 3.60 cr . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1550.0,3800000.0,INR,1.0,0,0,"A plot property is available for sale in Dhakoli, Chandigarh. It has an area of 1550 sqft. The property is available at a price of Rs. 38.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800.0,2000000.0,INR,1.0,1,0,"This plot is situated in Yadagirigutta, Chandigarh. It has an area of 1800 sqft and is priced at Rs. 20.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
