locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,gymnasium,children's_play_area,club_house,lift(s),swimming_pool,landscaped_gardens,rain_water_harvesting,maintenance_staff,jogging_track,sports_facility,car_parking,24_x_7_security,full_power_backup,locality_score,project_score,builder_experience,indoor_games,atm,intercom,school,pincode,multipurpose_room,vaastu_compliant,cafeteria,staff_quarter,hospital,golf_course
Raj Nagar Extension,1500.0,3000000.0,INR,1.0,0,0,"A plot property is available for sale in VVIP Villas, Raj Nagar Extension, Ghaziabad. It has an area of 1500 sqft. The property is available at a price of Rs. 30.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1,1.0,1,1,,,123.0,,,,,,,,,,,
Lal Kuan,450.0,900000.0,INR,1.0,0,0,"This plot is available for sale and is located in the heart of Lal Kuan. It has a salable area of 450 sqft and is available at a price of Rs. 2,000 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
wave city,450.0,700000.0,INR,1.0,0,0,"450 Square feet Plot for sale in Wave City, Ghaziabad. This land has a dimension of 15.0 mt length 30.0 mt width. Price. The width of the facing road is 55.0 mt. The most popular landmarks near this plot are Vidya Jyoti Public School, Junior High School, govt., and Modern Height Modern Railway City",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Morti,900.0,1000000.0,INR,1.0,0,0,"A plot property is available for sale in Morti, Ghaziabad. It has a salable area of 900 sqft and is available at a price of Rs. 1,111 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,5,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Masuri,900.0,1400000.0,INR,0.0,0,0,"This plot is situated in Vardah Builders Jindal Enclave Phase 1 and Phase 2, Masuri, Ghaziabad. It has a salable area of 900 sqft and is available at a price of Rs. 1,555 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,6.3,7.0,123.0,,,,,,,,,,,
Chipiyana Buzurg,446.0,1150000.0,INR,1.0,0,0,"This plot is available for sale and is located in the heart of Chipiyana Buzurg. It has an area of 446 sqft and is priced at Rs. 11.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,648.0,1584000.0,INR,1.0,0,0,"A plot is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 648 sqft. The property is available at a price of Rs. 15.84 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,450.0,650000.0,INR,1.0,0,0,"This plot is available for sale and is located in the heart of Dasna. It has a salable area of 450 sqft and is available at a price of Rs. 1,444 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northeast,0,0,1,0,0,0,1,0,,,0,0,,0,0,7.2,,,,,,,,,,,,,
Elaichipur,900.0,1100000.0,INR,1.0,0,0,"A plot property is available for sale in Elaichipur, Ghaziabad. It has a salable area of 900 sqft and is available at a price of Rs. 1,222 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,1,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,900.0,6500000.0,INR,1.0,1,0,"It has an area of 900 sqft and is priced at Rs. 65.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,3,1,0,0,0,1,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1198.0,6090000.0,INR,1.0,1,0,"This plot is situated in Aditya Builders Pune World City, Dasna, Ghaziabad. It has an area of 1198 sqft and is priced at Rs. 60.90 lac . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,northwest,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sector 7 Vaishali,2152.0,37500000.0,INR,1.0,0,0,"This plot is available for sale and is located in Ramprastha Promoters And Developers Greens, one of the most prestigious projects of Sector 7 Vaishali. It has an area of 2152 sqft and is priced at Rs. 3.75 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,,0,13,1,1,1,1,1,1,,,1,0,1.0,1,1,9.7,,62.0,,,1.0,,,1.0,,1.0,,,
Govindpuram,900.0,2500000.0,INR,1.0,1,0,"900 Square feet Plot for sale in Govindpuram, Ghaziabad. This land has a dimension of 20.0 mt length 45.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 20.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The Pizza Infinity, Uday South indian Dosa, and RPS Public School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Vaishali,1000.0,14300000.0,INR,1.0,0,0,"A plot is available for sale in Vaishali, Ghaziabad. It has a salable area of 1000 sqft and is available at a price of Rs. 14,300 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,504.0,1345000.0,INR,1.0,1,0,"This plot is available for sale and is located in the heart of Govindpuram. It has an area of 504 sqft. The property is available at a price of Rs. 13.45 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
