property_type,city,total_price,unit,builtup_area_sqft,area,state,duplicate_type,dataset,prop_id,address,resale,owntype,bhk,bathrooms,balcony_num,furnish,facing,property_age,floor_num,total_floor,prop_name,min_price,max_price,price_sqft,building_id,superbuiltup_sqft,brokerage,min_area_sqft,max_area_sqft,expiry_date,price,class_label,total_landmark_count,contact_company_name,locality,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,furnished,lift(s),full_power_backup,24_x_7_security,children's_play_area,club_house,gymnasium,swimming_pool,sports_facility,jogging_track,landscaped_gardens,locality_score,project_score,builder_experience,intercom,indoor_games,atm,maintenance_staff,staff_quarter,multipurpose_room,car_parking,hospital,school,pincode,vaastu_compliant,cafeteria,rain_water_harvesting,golf_course
Apartment,Visakhapatnam,18.0, L,1800.0,1000.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,35.0, L,2592.0,1350.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,30.0, L,3000.0,1000.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,38.0, L,3166.0,1200.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,34.0, L,3207.0,1060.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,48.0, L,3344.0,1435.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,52.0, L,3501.0,1485.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Tirupati,42.3, L,3600.0,1175.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,65.0, L,3611.0,1800.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,35.0, L,3804.0,920.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,39.0, L,3900.0,1000.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,10500000.0, Cr,3962.0,2650.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Tirupati,60.0, L,4000.0,1500.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,40.0, L,4000.0,1000.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,36.0, L,4000.0,900.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,37.0, L,4111.0,900.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,54.0, L,4500.0,1200.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,85.0, L,4577.0,1857.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,84.0, L,4666.0,1800.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,42.0, L,4666.0,900.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,60.0, L,4954.0,1211.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
