City,Count
Mumbai,37328
Hyderabad,26999
Gurugram,26466
Bengaluru,24123
Chennai,22716
Pune,22279
Delhi,19625
Kolkata,15593
,12905
Mohali,10311
Ghaziabad,7883
Greater Noida,6737
Noida,4818
Jaipur,4216
Faridabad,3894
Kolkata South,3530
Raipur,3315
Lucknow,3090
Zirakpur,3089
Kolkata East,2804
Visakhapatnam,2794
Dehradun,2185
Navi Mumbai,2153
Chandigarh,1976
Coimbatore,1717
Central Mumbai Suburbs,1697
Kolkata North,1693
Bhubaneswar,1630
Indore,1547
Mumbai Andheri-Dahisar,1510
Thane,1460
Madurai,1335
Bhopal,866
Tirupati,804
Panchkula,802
South Mumbai,755
Nagpur,680
Vijayawada,654
Goa,555
Durgapur,478
Mumbai Beyond Thane,477
Patna,453
Trichy,450
Secunderabad,445
Guwahati,439
Ranchi,400
Mumbai Harbour,400
Mira Road And Beyond,393
Mumbai South West,377
Raigad,357
Rishikesh,342
Mysore,335
Agra,333
Guntur,330
Mangaluru,319
Dera Bassi,317
Kanpur,314
Dindigul,306
Jalandhar,270
Palwal,265
Siliguri,257
Nashik,243
Varanasi,235
Bhiwadi,231
Gorakhpur,225
Kolkata West,225
Vizianagaram,219
Haridwar,206
Allahabad,180
Kochi,172
Thanjavur,165
Mathura,160
Tirunelveli,156
Bilaspur,145
Hisar,134
Ludhiana,119
Puri,118
Jabalpur,113
Salem,111
Thrissur,107
Ambala,103
Tiruppur,98
Balasore,95
Dharuhera,84
Aligarh,84
Palakkad,82
Nainital,77
Thiruvananthapuram,76
Alibaugh,76
Sonepat,71
Kolkata Central,69
Solan,67
Namakkal,66
Durg,65
Ajmer,64
Cuttack,62
Neemrana,61
Vellore,61
Kota,57
Asansol,57
Kozhikode,56
Karnal,50
Barabanki,50
Dhanbad,48
Ernakulam,47
Vishakhapatnam,46
Kakinada,44
Kurnool,43
Amritsar,43
Jodhpur,43
Meerut,40
Gwalior,37
Shimla,36
Tiruvannamalai,36
Panipat,35
Hubli Dharwad,34
Rajahmundry,33
Jhajjar,33
Hosur,33
Erode,31
Nellore,29
Kannur,27
Faizabad,27
Udaipur,26
Prakasam,25
Jhansi,24
Alwar,23
Haldwani,23
Rewari,22
Bahadurgarh,22
Muzaffarpur,21
Aurangabad,19
Agar,18
Warangal,18
Jamshedpur,17
Sikar,17
Ooty,17
Nasik,17
Moradabad,16
Kolhapur,15
Rohtak,14
Kushinagar,14
Villupuram,13
Dhule,13
Gaya,12
Hubli,12
Krishnagiri,12
Gulbarga,12
Azamgarh,12
Kottayam,11
Sangareddy,11
Nalgonda,11
Mirzapur,11
Bareilly,11
Tiruchirapalli,11
Anantapuram,10
Yamunanagar,10
Belagavi,10
Kollam,10
Ratlam,10
Patiala,10
Muzaffarnagar,10
Tuticorin,10
Satara,10
Ahmednagar,10
Mandya,9
Bhadrak,9
Roorkee,9
Tiruvallur,9
Srikakulam,8
Kumhari,8
Udupi,8
Bolpur,8
Ratnagiri,8
Eluru,7
East Godavari,7
Alappuzha,7
Bikaner,7
Jaunpur,7
Sindhudurg,7
Jalgaon,7
Bokaro,6
Hoshangabad,6
Ujjain,6
Basti,6
Rudrapur,6
Nadia,6
Thoothukudi,6
Ongole,5
Chapra,5
Tumakuru,5
Guruvayoor,5
Gonda,5
Hapur,5
Saharanpur,5
Raichur,4
Dewas,4
Dhar,4
Bathinda,4
Mancherial,4
Chandauli,4
Almora,4
Udham Singh Nagar,4
Bardhaman,4
Kanyakumari,4
Kodaikanal,4
Amravati,4
Krishna,3
Darbhanga,3
Bhagalpur,3
Shivamogga,3
Shimoga,3
Pathanamthitta,3
Calicut,3
Malappuram,3
Chhindwara,3
Sambalpur,3
Nagaur,3
Sirohi,3
Adilabad,3
Suryapet,3
Karimnagar,3
Sitapur,3
Burdwan,3
Karur,3
Tenkasi,3
Solapur,3
Vikramgad,3
Latur,3
Chittoor,2
West Godavari,2
Madhubani,2
Purnia,2
Rajnandgaon,2
Fatehabad,2
Bhiwani,2
Jind,2
Bellary,2
Tumkur,2
Hassan,2
Belgaum,2
Karwar,2
Sivaganga,2
Nilgiris,2
Davanagere,2
Wayanad,2
Rajgarh,2
Ganjam,2
Berhampur,2
Bhilwara,2
Barmer,2
Khammam,2
Nizamabad,2
Amroha,2
Arambagh,2
Darjeeling,2
Kancheepuram,2
Bhandara,2
Kadapa,1
Dibrugarh,1
Vaishali,1
Jagdalpur,1
Kurukshetra,1
Mewat,1
Manali,1
Kulu Manali,1
Kangra,1
Kullu,1
Hazaribagh,1
Kodagu,1
Bidar,1
Gadag,1
Bagalkot,1
Dharwad,1
Katni,1
Sehore,1
Betul,1
Seoni,1
Jajpur,1
Jharsuguda,1
Sangrur,1
Rupnagar,1
Bharatpur,1
Rajsamand,1
Jhunjhunu,1
Jangaon,1
Bahraich,1
Unnao,1
Fatehpur,1
Hardoi,1
Mussoorie,1
Bankura,1
Purulia,1
Purba Medinipur,1
Cuddalore,1
Theni,1
Virudhunagar,1
Ramanathapuram,1
Pudukkottai,1
Mayiladuthurai,1
Thiruvannamalai,1
Sangli,1
Beed,1
