Column,Missing_Pct
source,0.0
state,15.33
district,100.0
city,4.26
locality,95.75
pincode,99.44
latitude,100.0
longitude,100.0
property_type,4.26
bhk,88.92
bathrooms,96.87
balconies,100.0
carpet_area_sqft,100.0
builtup_area_sqft,7.95
superbuiltup_area_sqft,100.0
floor,100.0
total_floors,100.0
property_age,84.67
furnished,95.75
parking,100.0
lift,100.0
security,100.0
gated_community,100.0
amenities_count,100.0
construction_year,100.0
property_status,98.55
new_or_resale,100.0
distance_to_city_center,100.0
distance_to_metro,100.0
distance_to_railway,100.0
distance_to_airport,100.0
distance_to_school,100.0
distance_to_hospital,100.0
circle_rate,100.0
guidance_value,100.0
population,100.0
population_density,100.0
literacy_rate,100.0
total_price,0.0
price_per_sqft,7.95
transaction_date,100.0
listing_id,100.0
data_type,100.0
