Source,Count
dataset_1_statewise_up,256768
dataset_3_real_estate_RE_Combined_Data,33597
dataset_4_indian_cities_output_Ghaziabad_builderfloor,5253
dataset_4_indian_cities_output_Lucknow_plot,1793
dataset_4_indian_cities_output_Pune_plot,1659
dataset_4_indian_cities_output_Chandigarh_builderfloor,1015
dataset_4_indian_cities_output_Pune_villa,919
dataset_4_indian_cities_output_Chandigarh_plot,750
dataset_4_indian_cities_output_Ghaziabad_plot,698
dataset_4_indian_cities_output_Ghaziabad_villa,274
dataset_4_indian_cities_output_Chandigarh_villa,175
dataset_4_indian_cities_output_Lucknow_villa,173
dataset_4_indian_cities_output_Pune_builderfloor,123
dataset_4_indian_cities_output_Lucknow_builderfloor,72
dataset_2_listings_2025_real_estate_dataset,1
