State,Count
Maharastra,61086
,46501
Tamil Nadu,27304
Karnataka,25000
Uttar Pradesh,24315
Haryana,22530
Telangana,20931
Delhi,19625
West Bengal,16413
Punjab,14208
Andhra Pradesh,5023
Rajasthan,4758
Chattisgarh,3536
Uttarakhand,2857
Madhya Pradesh,2620
Chandigarh,1976
Orissa,1923
Kerala,587
Goa,555
Bihar,502
Jharkhand,472
Assam,440
Himachal_Pradesh,107
