plot_type,city,price,Unit,Rupee_per_area,Area,state
Residential Plot,Visakhapatnam, 90 L, L,"1,000 / sq ft",9000,andhra pradesh
Residential Plot,Anantapuram, 90 L, L,"1,000 / sq ft",9000,andhra pradesh
Residential Plot,Vizianagaram, 78.66 L, L,"1,000 / sq ft",7866,andhra pradesh
Residential Plot,Visakhapatnam, 54 L, L,"1,000 / sq ft",5400,andhra pradesh
Residential Plot,Visakhapatnam, 45 L, L,"1,000 / sq ft",4500,andhra pradesh
Residential Plot,Visakhapatnam, 28 L, L,"1,000 / sq ft",2800,andhra pradesh
Residential Plot,Visakhapatnam, 28 L, L,"1,000 / sq ft",2799,andhra pradesh
Residential Plot,Visakhapatnam, 27 L, L,"1,000 / sq ft",2700,andhra pradesh
Residential Plot,Vijayawada, 25.11 L, L,"1,000 / sq ft",2511,andhra pradesh
Residential Plot,Visakhapatnam, 21.24 L, L,"1,000 / sq ft",2124,andhra pradesh
Residential Plot,Visakhapatnam, 21.15 L, L,"1,000 / sq ft",2115,andhra pradesh
Residential Plot,Visakhapatnam, 18 L, L,"1,000 / sq ft",1800,andhra pradesh
Residential Plot,Vizianagaram, 18 L, L,"1,000 / sq ft",1800,andhra pradesh
Residential Plot,Tirupati, 18 L, L,"1,000 / sq ft",1800,andhra pradesh
Residential Plot,Guntur, 18 L, L,"1,000 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 16.47 L, L,"1,000 / sq ft",1647,andhra pradesh
Residential Plot,Srikakulam, 16.47 L, L,"1,000 / sq ft",1647,andhra pradesh
Residential Plot,Visakhapatnam, 15.03 L, L,"1,000 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 14.94 L, L,"1,000 / sq ft",1494,andhra pradesh
Residential Plot,Vijayawada, 13.5 L, L,"1,000 / sq ft",1350,andhra pradesh
Residential Plot,Visakhapatnam, 13.5 L, L,"1,000 / sq ft",1350,andhra pradesh
Residential Plot,Vizianagaram, 12.78 L, L,"1,000 / sq ft",1278,andhra pradesh
Residential Plot,Visakhapatnam, 12 L, L,"1,000 / sq ft",1200,andhra pradesh
Residential Plot,Visakhapatnam, 11.97 L, L,"1,000 / sq ft",1197,andhra pradesh
Residential Plot,Tirupati, 10.08 L, L,"1,000 / sq ft",1008,andhra pradesh
2 BHK Apartment,Visakhapatnam, 10 L, L,"1,000 / sq ft",1000,andhra pradesh
Residential Plot,Vijayawada, 9 L, L,"1,000 / sq ft",900,andhra pradesh
Residential Plot,Srikakulam, 10 L, L,"1,001 / sq ft",999,andhra pradesh
Residential Plot,Guntur, 57 L, L,"1,002 / sq ft",5688,andhra pradesh
Residential Plot,Visakhapatnam, 14.99 L, L,"1,004 / sq ft",1494,andhra pradesh
Residential Plot,Visakhapatnam, 18 L, L,"1,005 / sq ft",1790,andhra pradesh
