listing_id,city,state,locality,area_sqft,bhk,bathrooms,floor,total_floors,property_age_years,age_band,furnishing_status,property_type,price,price_per_sqft,parking,lift,security,power_backup,gym,pool,clubhouse,garden
L100000,lucknow,Uttar Pradesh,Jankipuram,1531.0,3,2.0,1,10.0,29.0,20+,unfurnished,apartment,4461500.0,2914.1,1,1,0,1,0,1,0,0
L100001,bengaluru,Karnataka,Electronic City,1480.0,3,2.0,6,7.0,24.0,20+,unfurnished,independent,13349000.0,9019.4,1,1,1,1,0,0,1,1
L100002,delhi,Delhi,Noida,651.7,2,1.0,0,0.0,1.0,1-5,unfurnished,plot,7601400.0,11663.4,0,0,1,0,1,1,1,0
L100003,chandigarh,Chandigarh,Mohali,985.9,2,2.0,20,21.0,20.0,20+,full,apartment,7829800.0,7941.6,1,1,1,0,0,0,1,0
L100004,chandigarh,Chandigarh,Sector 22,1139.5,2,1.0,0,0.0,31.0,20+,full,plot,8627000.0,7571.0,0,0,1,0,1,0,1,1
L100005,bengaluru,Karnataka,Koramangala,1114.5,3,3.0,4,16.0,3.0,1-5,unfurnished,apartment,21907900.0,19656.4,0,1,1,1,1,1,1,0
L100006,jaipur,Rajasthan,Malviya Nagar,1241.6,3,2.0,2,3.0,4.0,1-5,unfurnished,apartment,7867500.0,6336.4,1,1,0,1,0,1,0,1
L100007,lucknow,Uttar Pradesh,Jankipuram,1979.1,5,5.0,2,13.0,4.0,1-5,unfurnished,apartment,6505000.0,3286.8,1,0,0,0,1,0,0,0
L100008,pune,Maharashtra,Hadapsar,1323.1,3,3.0,6,10.0,0.0,new,semi,apartment,13545200.0,10237.2,0,0,0,0,0,1,1,0
L100009,bengaluru,Karnataka,Electronic City,935.2,2,1.0,5,,0.0,new,semi,apartment,9070200.0,9698.8,0,0,0,0,0,0,1,0
L100010,delhi,Delhi,Noida,1517.2,4,3.0,2,5.0,16.0,10-20,unfurnished,independent,22753800.0,14997.5,0,1,0,0,0,1,1,0
L100011,kochi,Kerala,Panampilly Nagar,1299.2,3,2.0,5,11.0,4.0,1-5,full,apartment,14161100.0,10899.8,1,0,1,0,0,1,0,1
L100012,mumbai,Maharashtra,Powai,1311.7,3,2.0,0,0.0,12.0,10-20,unfurnished,plot,25579000.0,19500.6,0,1,0,0,1,0,0,0
L100013,ahmedabad,Gujarat,Maninagar,2613.3,4,4.0,3,12.0,5.0,5-10,semi,apartment,13307200.0,5092.1,0,0,0,1,0,1,0,0
L100014,kochi,Kerala,Aluva,1231.2,2,1.0,0,,20.0,20+,unfurnished,apartment,4230200.0,3436.0,0,1,1,0,0,1,1,1
L100015,ahmedabad,Gujarat,Maninagar,1019.8,2,2.0,9,13.0,6.0,5-10,unfurnished,apartment,4901000.0,4805.9,0,0,0,0,1,0,0,1
L100016,hyderabad,Telangana,Uppal,2281.5,5,5.0,9,20.0,32.0,20+,unfurnished,apartment,11590300.0,5080.1,1,0,1,0,1,0,0,1
L100017,hyderabad,Telangana,Kondapur,1293.3,2,1.0,0,0.0,4.0,1-5,unfurnished,plot,7503400.0,5801.6,0,0,0,1,0,1,0,0
L100018,ahmedabad,Gujarat,Maninagar,864.6,1,1.0,1,1.0,11.0,10-20,unfurnished,apartment,3830600.0,4430.5,1,1,0,0,0,1,0,1
L100019,chennai,Tamil Nadu,Tambaram,1454.4,3,2.0,2,5.0,8.0,5-10,unfurnished,apartment,9201400.0,6326.6,1,1,1,1,1,0,1,0
L100020,bengaluru,Karnataka,Sarjapur Road,890.7,2,2.0,5,9.0,4.0,1-5,semi,villa,14749700.0,16560.1,0,0,1,1,1,0,1,0
L100021,delhi,Delhi,Dwarka,932.1,2,,2,14.0,29.0,20+,semi,independent,15918300.0,17077.3,0,1,1,1,1,1,1,1
L100022,jaipur,Rajasthan,Jagatpura,1257.4,2,,10,17.0,0.0,new,full,apartment,6225500.0,4950.9,1,1,0,0,1,0,1,0
L100023,hyderabad,Telangana,Hitec City,971.2,2,1.0,8,9.0,1.0,1-5,unfurnished,apartment,12903800.0,13287.1,1,1,1,1,1,0,1,1
L100024,kochi,Kerala,Kakkanad,1277.9,2,1.0,0,0.0,12.0,10-20,unfurnished,plot,4321900.0,3381.9,1,1,0,0,1,1,1,1
L100025,bengaluru,Karnataka,Sarjapur Road,1219.1,3,3.0,1,8.0,8.0,5-10,unfurnished,independent,15099100.0,12385.7,1,0,1,0,0,1,0,0
L100026,pune,Maharashtra,Baner,1341.0,3,3.0,0,1.0,7.0,5-10,semi,apartment,14908600.0,11117.2,1,0,0,0,0,0,1,0
L100027,kochi,Kerala,Panampilly Nagar,811.0,1,1.0,0,0.0,37.0,20+,full,plot,5023500.0,6194.5,1,1,1,0,1,0,1,1
L100028,kochi,Kerala,Panampilly Nagar,1312.2,3,3.0,1,1.0,37.0,20+,unfurnished,apartment,9953300.0,7585.2,1,0,0,0,1,0,0,0
L100029,kolkata,West Bengal,Behala,701.4,1,1.0,4,10.0,4.0,1-5,semi,apartment,4349500.0,6201.4,1,1,1,0,0,0,1,1
L100030,kochi,Kerala,Aluva,1742.4,4,,1,1.0,18.0,10-20,unfurnished,apartment,6864800.0,3939.8,1,1,0,1,0,1,0,1
L100031,lucknow,Uttar Pradesh,Jankipuram,1090.7,3,3.0,3,3.0,2.0,1-5,full,apartment,4353500.0,3991.3,1,0,1,1,1,1,0,1
L100032,kolkata,West Bengal,Salt Lake,1678.5,4,3.0,0,2.0,7.0,5-10,semi,apartment,13098400.0,7803.8,1,0,0,0,1,0,0,1
L100033,pune,Maharashtra,Koregaon Park,1575.8,3,2.0,7,18.0,3.0,1-5,unfurnished,apartment,24133300.0,15315.3,0,1,0,1,0,0,1,1
L100034,chennai,Tamil Nadu,Adyar,1465.1,3,3.0,16,18.0,3.0,1-5,full,independent,27292900.0,18629.1,0,0,1,1,0,0,0,1
